data,torneo,home,away,elo_h,elo_a
3/3/25,colombia - primera a,aguilas doradas,atletico bucaramanga,1739.53,1695.07
8/3/25,messico - segunda division,cimarrones de sonora,alacranes de durango,1806.36,1738.71
8/3/25,kazakistan - premier league,kairat almaty,ordabasy shymkent,1961.51,1881.45
8/3/25,slovacchia - super liga,dukla banska bystrica,mfk skalica,1790.9,1735.22
8/3/25,uk - league 1,barnsley,blackpool,1968.31,1926.03
8/3/25,uk - league 1,stevenage,mansfield,1931.25,1846.6
8/3/25,scozia - championship,airdrieonians,hamilton,1573.61,1566.51
8/3/25,romania - liga 1,petrolul ploiest,acs sepsi,1928.55,1865.84
8/3/25,italia - serie b,sampdoria,palermo,1908.47,1860.35
8/3/25,polonia - liga 1,ruch chorzow,arka gdynia,1819.67,1799.21
9/3/25,argentina - primera b metropolitana,real pilar,argentino merlo,1536.68,1443.76
9/3/25,ecuador - liga pro serie a,barcelona guayaquil,independiente del valle,1897.75,1867.32
9/3/25,costa rica - primera division,herediano,alajuelense,1774.57,1739.51
9/3/25,Germania - regionalliga,FC lok leipzig,carl Zeiss jena,1840.42,1748.42
9/3/25,Italia - serie C,foggia,Sorrento,1618.94,1520.58
9/3/25,portogallo - segunda liga,maritimo,academico viseu,1839.11,1771.45
9/3/25,portogallo - primera liga,santa clara,moreirense,2084.45,1959.74
9/3/25,slovenia - 2 snl,nk triglav kranj,nd beltinci,1553.93,1519.07
9/3/25,italia - serie c,novara,giana erminio,1593.86,1554.35
9/3/25,Italia - serie a,Juventus,atalanta,2366.02,2350.07
9/3/25,panama - lpf,ca idependiente de la chorrera,sporting san miguelito,1636.0,1589.84
9/3/25,argentina - nacional b,gimnasia jujuy,ca estudiantes caseros,1709.59,1575.4
9/3/25,usa - mls,la galaxy,st. louis city sc,1876.67,1772.81
10/3/25,turchia - 1 lig,pendikspor,amedspor,1844.77,1810.6
10/3/25,bulgaria - vtora liga,ludogorets razgrad II,sportist svoge,1517.98,1406.97
9/3/25,UK - league 2,colchester,port vale,1890.2,1836.56
9/3/25,UK - championship,sheffield united,Bristol city,2122.63,2052.2
9/3/25,,Yeovil,Boston united,1709.65,1651.52
9/3/25,uk - national league,oldham,Eastleigh,1813.0,1662.74
9/3/25,Italia - serie C,pergolettese,lumezzane,1546.73,1470.87
9/3/25,,talaea el geish,ismaily SC,1770.88,1709.7
14/3/25,france - national,us orleans,boulogne,1689.93,1655.76
14/3/25,francia - ligue 2,clermont,grenoble,1814.56,1781.68
15/3/25,costa rica - primera division,ad guanacasteca,santos de guapiles,1587.75,1524.3
15/3/25,messico - liga mx,queretaro,mazatlan fc,1683.31,1594.58
15/3/25,colombia - primera a,deportivo pasto,la equidad,1742.42,1652.88
15/3/25,danimarca - 3 divisione,holbaek,naesby,1536.97,1519.05
15/3/25,polonia - ekstraklasa,stal mielec,Slask Wroclaw,1901.52,1851.54
15/3/25,italia - serie b,frosinone,brescia,1874.63,1788.22
15/3/25,lituania - a lyga,hegelmann litauen,fa siauliai,1739.83,1667.98
15/3/25,malesia - super league,pdrm,negeri sembilan,1536.4,1435.3
15/3/25,spagna - segunda liga,cordova,sporting gijon,1972.85,1870.75
16/3/25,costa rica - primera division,ad san carlos,santa ana,1634.49,1561.31
16/3/25,Polonia - liga 1,pogon siedlce,stal stalowa wola,1611.66,1604.85
16/3/25,portogallo - segunda liga,tondela,benfica b,1872.61,1770.99
16/3/25,bosnia-erzegovina - premijer liga,nk posusje,velez mostar,1763.83,1733.39
16/3/25,cechia - 1 liga,sigma olomuc,hradec kralove,1985.18,1909.56
16/3/25,uk - championship,sheffield wednesday,sheffield united,2100.14,2074.36
16/3/25,croazia - hnl,nk osijek,nk varazdin,1923.06,1802.65
16/3/25,cipro - 1 divisione,ethnikos achna,nea salamis famagusta,1743.14,1679.92
16/3/25,portogallo - primera liga,arouca,estoril,2032.15,1902.82
17/3/25,argentina - liga profesional,lanus,instituto ac cordoba,1905.65,1753.1
17/3/25,serbia - prva liga,sloboda uzice,smederevo,1488.37,1395.45
17/3/25,spagna - segunda liga,cd castellon,deportivo la coruna,1957.2,1865.02
17/3/25,algeria - 2 divisione,RC kouba,es ben akoun,1746.2,1653.27
17/3/25,uk - league 1,afc wimbledon,barrow,1911.45,1810.73
17/3/25,ARGENTINA - NACIONAL B,nueva chicago,estudiantes rio cuarto,1646.2,1578.29
17/3/25,brasile - campeonato catarinense,avai,chapecoense,1834.69,1666.75
23/3/25,argentina - primera c metropolitana,general lamadrid,yupanqui,1514.2,1291.94
23/3/25,colombia - primera b,cucuta deportivo,tigres fc,1590.91,1429.51
23/3/25,colombia - primera a,aguilas doradas,envigado fc,1745.9,1500.28
23/3/25,panama - lpf,ca idependiente de la chorrera,plaza amador,1642.4,1608.23
25/3/25,uk - national league,wealdstone,aldershot,1710.99,1696.86
25/3/25,uk - league 2,port vale,barrow,1926.73,1786.16
28/3/25,germania - lega 3,verl,rot-weiss essen,1960.99,1897.43
28/3/25,francia - national,nimes,bourg-peronnas,1658.9,1584.47
28/3/25,francia - national,versailles,villefranche,1677.48,1597.42
29/3/25,panama - lpf,san francisco fc,alianza fc panama,1540.95,1481.37
29/3/25,azerbaigian - premier league,neftchi baku,araz fk,1839.48,1766.31
29/3/25,malta - premier league,floriana,hibernians,1723.29,1631.89
29/3/25,uk - league 2,walsall,afc wimbledon,1906.38,1845.19
29/3/25,uk - league 2,milton keynes dons,fleetwood town,1825.51,1782.27
29/3/25,uk - league 1,wigan,barnsley,1928.98,1885.75
29/3/25,uk - championship,stoke,qpr,2031.55,1946.9
30/3/25,colombia - primera a,deportivo pasto,deportivo cali,1743.08,1671.37
30/3/25,usa - mls,nashville sc,fc cincinnati,1864.51,1824.24
30/3/25,germania - lega 3,fc ingolstadt,fc viktoria koln,1922.38,1842.33
30/3/25,lituania - a lyga,fk panevezys,banga gargzdai,1701.01,1633.36
30/3/25,ungheria - nb 1,ujpest,fehervar fc,1830.91,1757.73
30/3/25,francia - ligue 1,tolosa,brest,2136.3,2029.09
30/3/25,campionato sammarinese,cosmos serravalle,ss folgore falciano calcio,1312.02,1270.12
30/3/25,germania - bundesliga 1,sc friburgo,union berlino,2258.16,2151.45
31/3/25,Polonia - liga 1,gks tychy,wisla plock,1737.71,1727.38
2/4/25,costa rica - segunda,ad sarchi,quepos combute fc,1561.91,1523.15
4/4/25,colombia - primera b,real soacha cundinamarca,real cartagena,1612.33,1598.42
5/4/25,coreal del sud - k3 league,daejeon korail,gangneung city,1691.3,1604.3
5/4/25,germania - bundesliga 2,fortuna dusseldorf,sc preussen munster,2050.55,1962.66
5/4/25,etiopia - premier league,ethiopia nigd bank,sidama bunna,1587.95,1526.76
5/4/25,iran - 1 divisione,paykan,pars jonoubi jam,1645.38,1605.11
5/4/25,uk - championship,qpr,cardiff,1980.62,1890.48
5/4/25,uk - league 2,salford city,gillingham,1826.81,1720.67
5/4/25,Bulgaria - parva liga,krumovgrad,FC hebar pazardzhik,1643.94,1535.32
5/4/25,turchia - 1 lig,umraniyespor,pendikspor,1767.05,1735.38
5/4/25,Ruanda - campionato nazionale,police FC (Ruanda),mukura,1609.8,1521.9
5/4/25,portogallo - segunda liga,gil Vicente,moreirense,2002.19,1939.48
8/4/25,cile - segunda,deportes rengo,real jventud san joaquin,1372.09,1280.69
8/4/25,ARGENTINA - NACIONAL B,quilmes,racing de cordoba,1693.99,1582.05
